ID,intervention_eligibility_start,intervention_eligibility_end,subpopulation,P_RRH,P_TSH,P_PSH,P_NOTX
9661,8/16/2020,11/16/2020,1,0.435994902,0.550797903,0.967029839,0.166494878
9264,6/15/2020,9/15/2020,1,0.025926232,0.708147823,0.547232249,0.65304923
9314,6/20/2020,8/21/2021,1,0.549662478,0.290904739,0.97268436,0.155039367
9274,6/15/2020,9/15/2020,1,0.435322393,0.510827605,0.714815994,0.688958181
9260,6/18/2020,9/18/2020,1,0.420367802,0.892946954,0.697728825,0.366308392
10104,10/21/2020,12/6/2020,1,0.330334821,0.896293089,0.216089496,0.458807897
9304,6/21/2020,9/21/2020,1,0.204648634,0.12558531,0.976274455,0.574430892
9275,6/14/2020,12/25/2021,1,0.619270966,0.207242878,0.006230255,0.388813491
9313,6/21/2020,7/25/2020,1,0.299654674,0.051467203,0.252982362,0.222600376
9276,6/14/2020,4/24/2021,1,0.266827275,0.440809844,0.434791532,0.140790921
9455,7/17/2020,10/17/2020,1,0.621133833,0.029876211,0.779382922,0.060555952
9341,6/23/2020,12/20/2020,1,0.529142094,0.456833224,0.197685075,0.553830222
9272,6/13/2020,9/13/2020,1,0.134579945,0.649144048,0.862993236,0.330981917
9272,2/4/2021,5/4/2021,1,0.513578121,0.278487283,0.983400677,0.118732401
9289,6/17/2020,9/17/2020,1,0.184439866,0.676254902,0.163842241,0.659952773
9283,6/18/2020,1/23/2021,0,0.785335148,0.590862817,0.597333944,0.205564846
9321,6/23/2020,4/14/2021,0,0.853975293,0.023981882,0.008986098,0.310676264
9302,6/21/2020,9/21/2020,0,0.494236837,0.558854088,0.386571283,0.22205995
9302,3/10/2021,9/23/2021,0,0.846561485,0.259252447,0.044160058,0.471590932
9240,6/10/2020,9/10/2020,1,0.079645477,0.415101197,0.956652968,0.434878358
9339,6/25/2020,7/15/2020,1,0.50524609,0.283525082,0.436146647,0.449946897
9243,6/7/2020,9/7/2020,1,0.065286504,0.693137918,0.948977307,0.199364338
9385,7/8/2020,10/8/2020,1,0.428122328,0.440453718,0.786305986,0.21351441
9385,11/24/2020,2/24/2021,1,0.096530916,0.156867738,0.866289299,0.190191154
9319,6/24/2020,8/13/2020,1,0.127159972,0.544649018,0.173165421,0.245672961
9295,6/19/2020,9/19/2020,1,0.596745309,0.780314765,0.074948587,0.108123225
9287,6/18/2020,11/9/2021,1,0.226012001,0.306363532,0.600742721,0.124209646
9288,6/16/2020,9/16/2020,0,0.106945684,0.221957884,0.167972184,0.722947897
9291,6/16/2020,9/29/2020,1,0.220306207,0.387971258,0.733380168,0.720170036
9284,6/17/2020,9/17/2020,0,0.349826285,0.93638365,0.40844386,0.141310992
9517,7/27/2020,10/27/2020,1,0.467787485,0.975995422,0.527908823,0.018229921
9785,9/6/2020,10/13/2020,1,0.201743226,0.672383676,0.937571584,0.15341666
9297,6/20/2020,11/6/2021,1,0.640406725,0.902834109,0.521696122,0.524882711
9299,6/21/2020,8/21/2020,1,0.483069836,0.845750871,0.108193383,0.584635939
9389,7/5/2020,8/22/2020,1,0.50523672,0.377994041,0.158223407,0.017199819
9347,6/29/2020,9/29/2020,1,0.386892651,0.092217009,0.545202652,0.433247144
9306,6/20/2020,7/29/2020,1,0.793637454,0.653410903,0.52440408,0.00123163
9349,6/28/2020,9/28/2020,0,0.580004179,0.557840762,0.637610244,0.386604459
9749,8/28/2020,11/28/2020,1,0.162298599,0.361564763,0.401495444,0.479846382
9310,6/24/2020,9/24/2020,1,0.700752347,0.225054505,0.649805109,0.739218302
9305,6/21/2020,4/7/2021,1,0.96455108,0.406519916,0.396900003,0.194323197
9380,7/3/2020,10/3/2020,1,0.500008361,0.468940249,0.623916114,0.601872664
9301,6/21/2020,2/22/2021,1,0.889520064,0.269235578,0.767404967,0.652862315
9457,7/15/2020,10/15/2020,1,0.341613653,0.291792774,0.17897391,0.69206221
10717,3/5/2021,8/10/2021,1,0.567144128,0.457686399,0.375575769,0.001660659
11311,7/13/2021,10/13/2021,1,0.427545963,0.860533913,0.502533059,0.352116279
9399,7/10/2020,10/10/2020,0,0.436747263,0.586252904,0.68666708,0.736101553
9307,6/20/2020,9/20/2020,1,0.776559185,0.283487862,0.253679649,0.299208603
9308,6/25/2020,8/5/2020,1,0.535604173,0.277977507,0.554740863,0.610299358
9370,6/30/2020,9/30/2020,0,0.953742227,0.454622076,0.624930844,0.409842373
9323,6/21/2020,9/21/2020,0,0.54420816,0.205410345,0.895501166,0.578140565
9322,6/24/2020,9/24/2020,1,0.082094922,0.201378711,0.362853588,0.363698306
9345,6/27/2020,7/4/2020,1,0.366342402,0.51403506,0.637557073,0.021833673
10500,1/12/2021,4/12/2021,1,0.850850504,0.087229369,0.191446402,0.064894266
10500,7/20/2021,10/20/2021,1,0.406275043,0.483585532,0.497794115,0.083590359
9373,7/4/2020,1/6/2021,1,0.027202366,0.362176212,0.182445405,0.188433834
9384,7/3/2020,1/12/2021,1,0.247177239,0.707686622,0.918383039,0.723686469
9479,7/20/2020,1/15/2021,0,0.067144371,0.746746223,0.431822071,0.47382454
9435,7/17/2020,10/17/2020,0,0.993852011,0.691092922,0.830188102,0.612495152
9363,7/4/2020,6/4/2021,0,0.970580313,0.689180414,0.416776305,0.424561497
9336,6/23/2020,7/10/2020,1,0.800258351,0.373600124,0.904667589,0.476517154
11153,6/7/2021,9/7/2021,1,0.601817121,0.668134805,0.404825217,0.608926793
9394,7/10/2020,5/1/2021,1,0.76495986,0.339848664,0.331174503,0.695011961
9792,9/2/2020,12/2/2020,0,0.169225447,0.57279387,0.57213877,0.684470073
9325,6/25/2020,9/25/2020,0,0.293023232,0.325807158,0.845443649,0.61860804
9351,7/2/2020,10/4/2020,0,0.524066875,0.445145049,0.861014312,0.070652049
9337,6/26/2020,9/26/2020,1,0.356624281,0.061528931,0.595688117,0.270786314
9350,6/27/2020,3/6/2021,0,0.045678965,0.242675422,0.084661611,0.026631774
9359,6/28/2020,9/20/2020,0,0.983153445,0.971602606,0.597266607,0.409768761
9441,7/14/2020,7/23/2020,1,0.441354919,0.230584204,0.245453709,0.597107041
9344,6/30/2020,9/30/2020,1,0.504000439,0.691477511,0.732593449,0.038357102
9344,11/18/2020,2/18/2021,1,0.323541318,0.650476858,0.894651292,0.141500802
9825,9/7/2020,12/7/2020,0,0.259744753,0.723939139,0.514733971,0.274108326
9324,6/21/2020,1/3/2021,1,0.386889885,0.475088611,0.60356351,0.18321815
9262,6/16/2020,9/16/2020,0,0.8320169,0.596663775,0.065067812,0.596315605
9542,7/28/2020,10/28/2020,1,0.736747056,0.066969424,0.54007473,0.264071202
9391,7/7/2020,1/3/2022,1,0.379210567,0.072562138,0.129186784,0.479158262
9403,7/6/2020,1/28/2021,1,0.013017337,0.198976026,0.614562846,0.370061289
9358,6/29/2020,8/25/2020,1,0.797404939,0.151860997,0.363650347,0.437624808
9364,7/4/2020,10/4/2020,1,0.269388798,0.100104345,0.767758034,0.704474514
9501,7/26/2020,8/15/2020,0,0.582684889,0.129293865,0.048534136,0.707655062
9405,7/7/2020,10/7/2020,1,0.025550942,0.553277732,0.109818118,0.08376932
9398,7/11/2020,7/11/2021,0,0.662202019,0.187814825,0.684023215,0.632666225
1626,8/7/2017,11/7/2017,1,0.387523426,0.952101243,0.514653697,0.259521114
9375,6/29/2020,9/29/2020,0,0.497073799,0.681611779,0.571641372,0.075620455
10316,11/23/2020,12/28/2021,1,0.414905837,0.541019673,0.843706994,0.2875568
9452,7/13/2020,10/13/2020,1,0.350871901,0.707180601,0.487737639,0.382766098
10462,1/7/2021,4/7/2021,0,0.550977905,0.263886671,0.810144422,0.720827311
10462,6/4/2021,9/4/2021,0,0.97291069,0.926725684,0.510243629,0.278634461
