ProjectTypeName,MoveInDate
PH - Rapid Re-Housing,7/27/2020
PH - Rapid Re-Housing,1/10/2022
PH - Permanent Supportive Housing,1/10/2022
PH - Rapid Re-Housing,1/22/2021
PH - Permanent Supportive Housing,1/22/2021
PH - Rapid Re-Housing,7/16/2020
PH - Rapid Re-Housing,8/13/2020
PH - Rapid Re-Housing,6/27/2020
PH - Rapid Re-Housing,10/1/2020
PH - Rapid Re-Housing,10/10/2020
PH - Rapid Re-Housing,9/3/2020
PH - Rapid Re-Housing,7/2/2020
PH - Rapid Re-Housing,6/27/2020
PH - Rapid Re-Housing,9/10/2020
PH - Rapid Re-Housing,9/18/2020
PH - Rapid Re-Housing,10/1/2020
PH - Rapid Re-Housing,10/1/2020
PH - Rapid Re-Housing,6/23/2020
PH - Rapid Re-Housing,7/6/2020
PH - Rapid Re-Housing,8/12/2020
PH - Rapid Re-Housing,5/6/2021
PH - Rapid Re-Housing,10/6/2020
PH - Rapid Re-Housing,12/1/2020
PH - Permanent Supportive Housing,12/1/2020
PH - Rapid Re-Housing,8/27/2020
PH - Rapid Re-Housing,10/1/2020
PH - Rapid Re-Housing,11/20/2020
PH - Rapid Re-Housing,9/18/2020
PH - Rapid Re-Housing,9/15/2020
PH - Rapid Re-Housing,9/21/2020
PH - Rapid Re-Housing,11/20/2020
PH - Rapid Re-Housing,10/31/2020
PH - Rapid Re-Housing,10/10/2020
PH - Permanent Supportive Housing,10/1/2021
PH - Permanent Supportive Housing,10/1/2021
PH - Rapid Re-Housing,12/23/2020
PH - Rapid Re-Housing,10/29/2020
PH - Permanent Supportive Housing,10/26/2020
PH - Rapid Re-Housing,10/2/2020
PH - Permanent Supportive Housing,2/4/2021
PH - Rapid Re-Housing,2/2/2021
PH - Permanent Supportive Housing,4/30/2021
PH - Rapid Re-Housing,10/15/2021
PH - Rapid Re-Housing,9/19/2020
PH - Rapid Re-Housing,9/30/2020
PH - Rapid Re-Housing,8/1/2021
PH - Rapid Re-Housing,8/18/2020
PH - Rapid Re-Housing,11/18/2021
PH - Permanent Supportive Housing,11/18/2021
PH - Rapid Re-Housing,1/29/2021
PH - Rapid Re-Housing,9/18/2020
PH - Rapid Re-Housing,9/19/2020
PH - Rapid Re-Housing,9/14/2020
PH - Permanent Supportive Housing,9/14/2020
PH - Permanent Supportive Housing,9/14/2020
PH - Rapid Re-Housing,11/12/2020
PH - Permanent Supportive Housing,11/12/2020
PH - Rapid Re-Housing,10/23/2020
PH - Rapid Re-Housing,4/30/2021
PH - Rapid Re-Housing,9/18/2020
PH - Rapid Re-Housing,12/8/2020
PH - Rapid Re-Housing,9/4/2020
PH - Permanent Supportive Housing,9/4/2020
PH - Rapid Re-Housing,10/16/2020
PH - Rapid Re-Housing,11/10/2020
PH - Rapid Re-Housing,8/17/2020
PH - Rapid Re-Housing,8/17/2020
PH - Rapid Re-Housing,11/13/2020
PH - Rapid Re-Housing,9/2/2020
PH - Rapid Re-Housing,9/26/2020
PH - Rapid Re-Housing,3/12/2021
PH - Rapid Re-Housing,10/1/2020
PH - Rapid Re-Housing,10/16/2020
PH - Rapid Re-Housing,10/1/2020
PH - Permanent Supportive Housing,8/14/2020
PH - Rapid Re-Housing,10/16/2020
PH - Rapid Re-Housing,11/6/2020
PH - Rapid Re-Housing,10/22/2020
PH - Permanent Supportive Housing,8/13/2021
PH - Rapid Re-Housing,10/15/2020
PH - Rapid Re-Housing,9/23/2020
PH - Rapid Re-Housing,8/1/2021
PH - Permanent Supportive Housing,8/1/2021
PH - Rapid Re-Housing,10/3/2020
PH - Rapid Re-Housing,9/18/2020
PH - Rapid Re-Housing,5/18/2020
PH - Rapid Re-Housing,8/1/2021
PH - Rapid Re-Housing,8/3/2020
PH - Rapid Re-Housing,1/12/2021
PH - Rapid Re-Housing,10/21/2020
PH - Rapid Re-Housing,11/6/2020
PH - Rapid Re-Housing,2/11/2021
PH - Rapid Re-Housing,8/1/2021
PH - Rapid Re-Housing,9/26/2020
PH - Rapid Re-Housing,6/21/2021
PH - Rapid Re-Housing,10/15/2020
PH - Rapid Re-Housing,11/5/2020
PH - Rapid Re-Housing,1/7/2021
PH - Rapid Re-Housing,10/2/2020
PH - Rapid Re-Housing,10/31/2020
PH - Rapid Re-Housing,12/22/2020
PH - Rapid Re-Housing,2/1/2021
PH - Permanent Supportive Housing,1/26/2021
PH - Rapid Re-Housing,9/18/2020
PH - Rapid Re-Housing,9/18/2020
PH - Rapid Re-Housing,9/18/2020
PH - Rapid Re-Housing,9/18/2020
PH - Rapid Re-Housing,11/23/2020
PH - Rapid Re-Housing,9/18/2020
PH - Rapid Re-Housing,11/16/2020
PH - Rapid Re-Housing,9/26/2020
PH - Rapid Re-Housing,10/1/2020
PH - Rapid Re-Housing,2/2/2021
PH - Permanent Supportive Housing,2/2/2021
PH - Permanent Supportive Housing,10/27/2020
PH - Rapid Re-Housing,10/9/2020
PH - Rapid Re-Housing,9/23/2020
PH - Rapid Re-Housing,9/23/2020
PH - Rapid Re-Housing,9/23/2020
PH - Rapid Re-Housing,9/23/2020
PH - Rapid Re-Housing,11/1/2017
PH - Rapid Re-Housing,11/6/2020
PH - Permanent Supportive Housing,10/5/2020
PH - Rapid Re-Housing,8/24/2021
PH - Rapid Re-Housing,11/19/2020
PH - Permanent Supportive Housing,4/23/2021
PH - Rapid Re-Housing,9/1/2021
PH - Permanent Supportive Housing,9/1/2021
PH - Rapid Re-Housing,2/19/2021
PH - Rapid Re-Housing,1/20/2021
PH - Permanent Supportive Housing,1/20/2021
PH - Rapid Re-Housing,9/16/2020
PH - Rapid Re-Housing,9/16/2020
PH - Rapid Re-Housing,11/10/2020
PH - Rapid Re-Housing,3/19/2021
PH - Rapid Re-Housing,10/12/2020
PH - Rapid Re-Housing,1/31/2021
PH - Rapid Re-Housing,12/1/2020
PH - Rapid Re-Housing,11/9/2020
PH - Rapid Re-Housing,3/1/2021
PH - Rapid Re-Housing,12/22/2020
PH - Permanent Supportive Housing,10/10/2020
PH - Rapid Re-Housing,10/21/2020
PH - Rapid Re-Housing,6/2/2020
PH - Rapid Re-Housing,4/16/2020
PH - Rapid Re-Housing,6/1/2020
PH - Rapid Re-Housing,3/11/2021
PH - Rapid Re-Housing,10/27/2020
PH - Permanent Supportive Housing,3/25/2021
PH - Rapid Re-Housing,10/29/2020
PH - Rapid Re-Housing,10/28/2020
PH - Rapid Re-Housing,10/28/2020
PH - Rapid Re-Housing,12/14/2020
PH - Rapid Re-Housing,12/9/2020
PH - Rapid Re-Housing,8/1/2021
PH - Rapid Re-Housing,2/12/2021
PH - Rapid Re-Housing,12/10/2020
PH - Rapid Re-Housing,8/1/2021
PH - Rapid Re-Housing,8/1/2021
PH - Rapid Re-Housing,2/2/2021
PH - Rapid Re-Housing,11/19/2020
PH - Rapid Re-Housing,2/2/2021
PH - Rapid Re-Housing,2/1/2021
PH - Rapid Re-Housing,11/10/2021
PH - Permanent Supportive Housing,11/10/2021
PH - Rapid Re-Housing,2/1/2021
PH - Permanent Supportive Housing,10/1/2021
PH - Permanent Supportive Housing,10/1/2021
PH - Rapid Re-Housing,1/13/2021
PH - Rapid Re-Housing,1/25/2022
PH - Rapid Re-Housing,8/1/2021
PH - Rapid Re-Housing,11/23/2020
PH - Rapid Re-Housing,1/22/2021
PH - Rapid Re-Housing,1/1/2021
PH - Permanent Supportive Housing,1/1/2021
PH - Rapid Re-Housing,2/16/2021
PH - Rapid Re-Housing,11/19/2020
PH - Rapid Re-Housing,5/4/2021
PH - Rapid Re-Housing,1/8/2021
PH - Permanent Supportive Housing,5/13/2018
PH - Permanent Supportive Housing,11/1/2019
PH - Rapid Re-Housing,3/12/2021
PH - Permanent Supportive Housing,7/13/2018
PH - Permanent Supportive Housing,1/1/2021
PH - Rapid Re-Housing,4/20/2021
PH - Rapid Re-Housing,8/1/2021
PH - Rapid Re-Housing,8/1/2021
PH - Rapid Re-Housing,12/22/2020
PH - Permanent Supportive Housing,9/25/2021
PH - Rapid Re-Housing,3/11/2021
PH - Rapid Re-Housing,8/1/2021
PH - Permanent Supportive Housing,5/19/2021
PH - Rapid Re-Housing,6/1/2021
PH - Rapid Re-Housing,8/1/2021
PH - Rapid Re-Housing,12/21/2020
PH - Rapid Re-Housing,3/9/2021
PH - Rapid Re-Housing,10/12/2021
PH - Rapid Re-Housing,7/30/2021
PH - Permanent Supportive Housing,1/21/2021
PH - Rapid Re-Housing,1/7/2021
PH - Rapid Re-Housing,1/13/2021
PH - Rapid Re-Housing,5/10/2021
PH - Rapid Re-Housing,4/2/2021
PH - Rapid Re-Housing,4/26/2021
PH - Permanent Supportive Housing,4/26/2021
PH - Rapid Re-Housing,6/11/2021
PH - Rapid Re-Housing,3/22/2021
PH - Rapid Re-Housing,1/7/2021
PH - Permanent Supportive Housing,11/25/2020
PH - Rapid Re-Housing,12/28/2020
PH - Rapid Re-Housing,1/7/2021
PH - Rapid Re-Housing,12/1/2021
PH - Permanent Supportive Housing,3/31/2021
PH - Permanent Supportive Housing,3/31/2021
PH - Rapid Re-Housing,11/30/2021
PH - Rapid Re-Housing,7/15/2021
PH - Rapid Re-Housing,5/13/2021
PH - Permanent Supportive Housing,5/10/2021
PH - Permanent Supportive Housing,5/10/2021
PH - Rapid Re-Housing,7/30/2021
Transitional Housing,7/30/2021
PH - Rapid Re-Housing,3/23/2021
PH - Rapid Re-Housing,2/9/2021
PH - Rapid Re-Housing,6/25/2021
PH - Rapid Re-Housing,3/10/2021
PH - Rapid Re-Housing,2/4/2021
PH - Rapid Re-Housing,3/31/2021
PH - Rapid Re-Housing,6/16/2021
PH - Rapid Re-Housing,2/22/2021
PH - Rapid Re-Housing,8/1/2021
PH - Rapid Re-Housing,8/1/2021
PH - Rapid Re-Housing,6/1/2021
PH - Permanent Supportive Housing,4/16/2021
PH - Rapid Re-Housing,8/1/2021
PH - Rapid Re-Housing,5/6/2021
PH - Rapid Re-Housing,3/8/2021
PH - Permanent Supportive Housing,2/25/2021
PH - Permanent Supportive Housing,2/18/2021
PH - Permanent Supportive Housing,1/25/2022
PH - Rapid Re-Housing,5/5/2021
PH - Rapid Re-Housing,4/5/2021
PH - Permanent Supportive Housing,11/1/2021
PH - Rapid Re-Housing,11/6/2021
PH - Permanent Supportive Housing,11/6/2021
PH - Rapid Re-Housing,8/1/2021
PH - Rapid Re-Housing,6/15/2021
PH - Rapid Re-Housing,11/24/2021
PH - Rapid Re-Housing,3/12/2021
PH - Permanent Supportive Housing,2/9/2022
PH - Rapid Re-Housing,2/4/2022
PH - Permanent Supportive Housing,11/16/2021
PH - Rapid Re-Housing,3/18/2021
PH - Rapid Re-Housing,8/1/2021
PH - Rapid Re-Housing,3/23/2021
PH - Rapid Re-Housing,3/23/2021
PH - Rapid Re-Housing,6/29/2021
PH - Rapid Re-Housing,4/19/2021
PH - Rapid Re-Housing,8/9/2021
PH - Rapid Re-Housing,5/27/2021
PH - Rapid Re-Housing,6/4/2021
PH - Rapid Re-Housing,9/13/2021
PH - Rapid Re-Housing,12/8/2021
